"gutenberg_id" "text"
164 "This etext was done by a number of anonymous volunteers of the"
164 "Gutenberg Project, to whom we owe a great deal of thanks and to"
164 "whom we dedicate this book."
164 ""
164 ""
164 ""
164 ""
164 ""
164 ""
164 "TWENTY THOUSAND LEAGUES UNDER THE SEA"
164 ""
164 ""
164 "by"
164 ""
164 "JULES VERNE"
164 ""
164 ""
164 ""
164 ""
164 ""
164 "PART ONE"
164 ""
164 ""
164 ""
164 "CHAPTER I"
164 ""
164 "A SHIFTING REEF"
164 ""
164 "The year 1866 was signalised by a remarkable incident, a mysterious and"
164 "puzzling phenomenon, which doubtless no one has yet forgotten.  Not to"
164 "mention rumours which agitated the maritime population and excited the"
164 "public mind, even in the interior of continents, seafaring men were"
164 "particularly excited.  Merchants, common sailors, captains of vessels,"
164 "skippers, both of Europe and America, naval officers of all countries,"
164 "and the Governments of several States on the two continents, were"
164 "deeply interested in the matter."
164 ""
164 "For some time past vessels had been met by \"an enormous thing,\" a long"
164 "object, spindle-shaped, occasionally phosphorescent, and infinitely"
164 "larger and more rapid in its movements than a whale."
164 ""
164 "The facts relating to this apparition (entered in various log-books)"
164 "agreed in most respects as to the shape of the object or creature in"
164 "question, the untiring rapidity of its movements, its surprising power"
164 "of locomotion, and the peculiar life with which it seemed endowed.  If"
164 "it was a whale, it surpassed in size all those hitherto classified in"
164 "science.  Taking into consideration the mean of observations made at"
164 "divers times--rejecting the timid estimate of those who assigned to"
164 "this object a length of two hundred feet, equally with the exaggerated"
164 "opinions which set it down as a mile in width and three in length--we"
164 "might fairly conclude that this mysterious being surpassed greatly all"
164 "dimensions admitted by the learned ones of the day, if it existed at"
164 "all.  And that it DID exist was an undeniable fact; and, with that"
164 "tendency which disposes the human mind in favour of the marvellous, we"
164 "can understand the excitement produced in the entire world by this"
164 "supernatural apparition.  As to classing it in the list of fables, the"
164 "idea was out of the question."
164 ""
164 "On the 20th of July, 1866, the steamer Governor Higginson, of the"
164 "Calcutta and Burnach Steam Navigation Company, had met this moving mass"
164 "five miles off the east coast of Australia.  Captain Baker thought at"
164 "first that he was in the presence of an unknown sandbank; he even"
164 "prepared to determine its exact position when two columns of water,"
164 "projected by the mysterious object, shot with a hissing noise a hundred"
164 "and fifty feet up into the air.  Now, unless the sandbank had been"
164 "submitted to the intermittent eruption of a geyser, the Governor"
164 "Higginson had to do neither more nor less than with an aquatic mammal,"
164 "unknown till then, which threw up from its blow-holes columns of water"
164 "mixed with air and vapour."
164 ""
164 "Similar facts were observed on the 23rd of July in the same year, in"
164 "the Pacific Ocean, by the Columbus, of the West India and Pacific Steam"
164 "Navigation Company.  But this extraordinary creature could transport"
164 "itself from one place to another with surprising velocity; as, in an"
164 "interval of three days, the Governor Higginson and the Columbus had"
164 "observed it at two different points of the chart, separated by a"
164 "distance of more than seven hundred nautical leagues."
164 ""
164 "Fifteen days later, two thousand miles farther off, the Helvetia, of"
164 "the Compagnie-Nationale, and the Shannon, of the Royal Mail Steamship"
164 "Company, sailing to windward in that portion of the Atlantic lying"
164 "between the United States and Europe, respectively signalled the"
164 "monster to each other in 42 deg. 15' N. lat. and 60 deg. 35' W. long."
164 "In these simultaneous observations they thought themselves justified in"
164 "estimating the minimum length of the mammal at more than three hundred"
164 "and fifty feet, as the Shannon and Helvetia were of smaller dimensions"
164 "than it, though they measured three hundred feet over all."
164 ""
164 "Now the largest whales, those which frequent those parts of the sea"
164 "round the Aleutian, Kulammak, and Umgullich islands, have never"
164 "exceeded the length of sixty yards, if they attain that."
164 ""
164 "In every place of great resort the monster was the fashion.  They sang"
164 "of it in the cafes, ridiculed it in the papers, and represented it on"
164 "the stage.  All kinds of stories were circulated regarding it.  There"
164 "appeared in the papers caricatures of every gigantic and imaginary"
164 "creature, from the white whale, the terrible \"Moby Dick\" of sub-arctic"
164 "regions, to the immense kraken, whose tentacles could entangle a ship"
164 "of five hundred tons and hurry it into the abyss of the ocean.  The"
164 "legends of ancient times were even revived."
164 ""
164 "Then burst forth the unending argument between the believers and the"
164 "unbelievers in the societies of the wise and the scientific journals."
164 "\"The question of the monster\" inflamed all minds.  Editors of"
164 "scientific journals, quarrelling with believers in the supernatural,"
164 "spilled seas of ink during this memorable campaign, some even drawing"
164 "blood; for from the sea-serpent they came to direct personalities."
164 ""
